city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Skælskør,55.2528,11.2931,Denmark,DK,Sjælland,,6304,2989
Rødekro,55.0701,9.3350,Denmark,DK,Syddanmark,,6189,2960
Kerteminde,55.4490,10.6590,Denmark,DK,Syddanmark,minor,6128,5872
Assens,55.2664,9.8968,Denmark,DK,Syddanmark,minor,5952,2883
Bellinge,55.3350,10.3133,Denmark,DK,Syddanmark,,5877,2856
Maribo,54.7753,11.5035,Denmark,DK,Sjælland,minor,5786,2698
Hellebæk,56.0671,12.5593,Denmark,DK,Hovedstaden,,5775,2829
Nordborg,55.0577,9.7476,Denmark,DK,Syddanmark,,5680,2838
Nibe,56.9833,9.6333,Denmark,DK,Nordjylland,,5616,2658
Tune,55.5931,12.1708,Denmark,DK,Sjælland,,5609,2773
Klarup,57.0125,10.0597,Denmark,DK,Nordjylland,,5603,2754
Munkebo,55.4570,10.5530,Denmark,DK,Syddanmark,,5423,2698
Hirtshals,57.5900,9.9600,Denmark,DK,Nordjylland,,5347,5347
Strib,55.5367,9.7722,Denmark,DK,Syddanmark,,5280,2601
Otterup,55.5167,10.4000,Denmark,DK,Syddanmark,,5263,5083
Kjellerup,56.2847,9.4331,Denmark,DK,Midtjylland,,5247,2504
Fensmark,55.2778,11.8050,Denmark,DK,Sjælland,,5190,2484
Hornbæk,56.0875,12.4587,Denmark,DK,Hovedstaden,,5185,3659
Mårslet,56.0683,10.1617,Denmark,DK,Midtjylland,,5174,2510
Viby,55.5475,12.0250,Denmark,DK,Sjælland,,5113,2491
Strøby Egede,55.4131,12.2456,Denmark,DK,Sjælland,,5108,2525
Hadsund,56.7185,10.1155,Denmark,DK,Nordjylland,,5051,5051
Borup,55.4983,11.9781,Denmark,DK,Sjælland,,5049,2475
Nykøbing Sjælland,55.9225,11.6686,Denmark,DK,Sjælland,,5016,2361
Vamdrup,55.4270,9.2830,Denmark,DK,Syddanmark,,4940,2501
Kirke Hvalsø,55.5958,11.8616,Denmark,DK,Sjælland,minor,4877,2329
Solbjerg,56.0397,10.0867,Denmark,DK,Midtjylland,,4845,2357
Vodskov,57.1083,10.0269,Denmark,DK,Nordjylland,,4810,2331
Brørup,55.4825,9.0158,Denmark,DK,Syddanmark,,4593,2266
Havdrup,55.5433,12.1181,Denmark,DK,Sjælland,,4531,2250
Sakskøbing,54.7975,11.6364,Denmark,DK,Sjælland,,4514,2220
Hjallerup,57.1675,10.1450,Denmark,DK,Nordjylland,,4509,2234
Rudkøbing,54.9380,10.7160,Denmark,DK,Syddanmark,minor,4485,2150
Langeskov,55.3568,10.5862,Denmark,DK,Syddanmark,,4456,2189
Årslev,55.3029,10.4642,Denmark,DK,Syddanmark,,4447,2161
Høng,55.5044,11.2919,Denmark,DK,Sjælland,,4359,4359
Videbæk,56.0931,8.6325,Denmark,DK,Midtjylland,,4351,2130
Jyderup,55.6575,11.4014,Denmark,DK,Sjælland,,4300,2034
Gråsten,54.9211,9.5944,Denmark,DK,Syddanmark,,4298,2091
Svogerslev,55.6339,12.0111,Denmark,DK,Sjælland,,4273,2013
Jægerspris,55.8500,11.9910,Denmark,DK,Hovedstaden,,4156,2037
Lynge,55.8397,12.2767,Denmark,DK,Hovedstaden,,4139,2019
Fakse,55.2544,12.1181,Denmark,DK,Sjælland,,4139,2086
Vildbjerg,56.1972,8.7667,Denmark,DK,Midtjylland,,4138,2044
Tarm,55.9053,8.5206,Denmark,DK,Midtjylland,,4122,2025
Dianalund,55.5295,11.4924,Denmark,DK,Sjælland,,4057,1977
Jelling,55.7558,9.4194,Denmark,DK,Syddanmark,,4038,3370
Bogense,55.5642,10.0894,Denmark,DK,Syddanmark,minor,4019,1840
Tølløse,55.6117,11.7736,Denmark,DK,Sjælland,,4007,1941
Harlev,56.1447,9.9969,Denmark,DK,Midtjylland,,4005,1942
Juelsminde,55.7062,10.0155,Denmark,DK,Midtjylland,,3975,1906
Løgstør,56.9667,9.2500,Denmark,DK,Nordjylland,,3969,3972
Brædstrup,55.9717,9.6114,Denmark,DK,Midtjylland,,3967,1901
Assentoft,56.4403,10.1467,Denmark,DK,Midtjylland,,3956,3956
Præstø,55.1167,12.0500,Denmark,DK,Sjælland,,3949,45057
Virklund,56.1297,9.5600,Denmark,DK,Midtjylland,,3923,3923
Stege,54.9861,12.2856,Denmark,DK,Sjælland,,3765,45057
Stenløse,55.3392,10.3617,Denmark,DK,Syddanmark,,3701,3701
Gistrup,56.9964,9.9906,Denmark,DK,Nordjylland,,3686,1814
Græsted,56.0653,12.2842,Denmark,DK,Hovedstaden,,3662,3581
Nexø,55.0625,15.1319,Denmark,DK,Hovedstaden,,3657,3615
Store Heddinge,55.3086,12.3869,Denmark,DK,Sjælland,minor,3633,3633
Hjortshøj,56.2492,10.2656,Denmark,DK,Midtjylland,,3586,1680
Taulov,55.5364,9.6083,Denmark,DK,Syddanmark,,3539,3539
Sabro,56.2133,10.0344,Denmark,DK,Midtjylland,,3492,3492
Storvorde,57.0028,10.1008,Denmark,DK,Nordjylland,,3465,3465
Trige,56.2533,10.1475,Denmark,DK,Midtjylland,,3459,3459
Auning,56.4306,10.3767,Denmark,DK,Midtjylland,,3330,1562
Rønde,56.3000,10.4833,Denmark,DK,Midtjylland,minor,3328,3295
Søndersø,55.4858,10.2549,Denmark,DK,Syddanmark,,3327,3291
Glamsbjerg,55.2778,10.1056,Denmark,DK,Syddanmark,,3322,1653
Vissenbjerg,55.3862,10.1317,Denmark,DK,Syddanmark,,3251,1610
Årup,55.3798,10.0482,Denmark,DK,Syddanmark,,3237,1531
Bjæverskov,55.4575,12.0319,Denmark,DK,Sjælland,,3236,1615
Thurø By,55.0456,10.6672,Denmark,DK,Syddanmark,,3232,3232
Broager,54.8890,9.6696,Denmark,DK,Syddanmark,,3227,1596
Vallensbæk Strand,55.6353,12.3648,Denmark,DK,Hovedstaden,minor,456,446
Frederiksberg,55.6785,12.5221,Denmark,DK,Hovedstaden,minor,,
Herlev,55.7235,12.4404,Denmark,DK,Hovedstaden,minor,,
Kongens Lyngby,55.7718,12.5060,Denmark,DK,Hovedstaden,minor,,
Søborg,55.7302,12.5098,Denmark,DK,Hovedstaden,minor,,
Hvidovre,55.6503,12.4758,Denmark,DK,Hovedstaden,minor,,
Rødovre,55.6827,12.4644,Denmark,DK,Hovedstaden,minor,,
Charlottenlund,55.7537,12.5918,Denmark,DK,Hovedstaden,minor,,
Ballerup,55.7198,12.3520,Denmark,DK,Hovedstaden,minor,,
Glostrup,55.6666,12.4038,Denmark,DK,Hovedstaden,minor,,
Brøndby,55.6541,12.4215,Denmark,DK,Hovedstaden,minor,,
Albertslund,55.6623,12.3351,Denmark,DK,Hovedstaden,minor,,
Ishøj,55.6184,12.3281,Denmark,DK,Hovedstaden,minor,,
Allerød,55.8703,12.3574,Denmark,DK,Hovedstaden,minor,,
Holte,55.8167,12.4667,Denmark,DK,Hovedstaden,minor,,
Greve,55.5966,12.2492,Denmark,DK,Sjælland,minor,,
Kokkedal,55.9098,12.5152,Denmark,DK,Hovedstaden,minor,,
Kastrup,55.6352,12.6489,Denmark,DK,Hovedstaden,minor,,
Stenløse,55.7677,12.1960,Denmark,DK,Hovedstaden,minor,,
Ærøskøbing,54.8912,10.4083,Denmark,DK,Syddanmark,minor,,

